区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-100~-95,2,0.0029991752268126266,50.0,100.0,,
-90~-85,1,0.0014995876134063133,0.0,0.0,,
-85~-80,42,0.06298267976306515,0.0,0.0,,
-80~-75,47,0.07048061783009672,0.0,0.0,,
-75~-70,81,0.12146659668591138,0.0,0.0,,
-70~-65,142,0.2129414411036965,0.0,0.0,,
-65~-60,253,0.37939566619179727,0.0,0.0,,
-60~-55,362,0.5428507160530854,0.0,0.0,,
-55~-50,515,0.7722876209042513,0.0,0.7766990291262136,,
-50~-45,983,1.474094623978406,0.0,1.5259409969481181,,
-45~-40,1204,1.805503486541201,0.33222591362126247,2.6578073089700998,,
-40~-35,1772,2.657269250955987,0.9593679458239277,7.7313769751693,,
-35~-30,2352,3.527030066731649,8.035714285714286,24.702380952380953,,
-30~-25,2845,4.266326760140961,2.7065026362038664,11.704745166959578,,
-25~-20,3602,5.40151458348954,2.665186007773459,12.826207662409772,,
-20~-15,4112,6.16630426632676,3.3317120622568095,16.41536964980545,,
-15~-10,5054,7.578915798155507,4.728927582113178,20.30075187969925,,
-10~-5,4143,6.212791482342356,5.865314989138305,22.93024378469708,,
-5~0,6001,8.999025268051286,7.498750208298617,27.512081319780034,,
0~5,5200,7.797855589712829,9.25,31.30769230769231,,
5~10,5275,7.910324660718302,11.848341232227488,37.27014218009479,,
10~15,4859,7.286496213541276,12.739246758592305,38.25890100843795,,
15~20,3445,5.1660793281847495,15.32656023222061,43.54136429608128,,
20~25,4057,6.083826947589413,18.16613261030318,48.36085777668227,,
25~30,2820,4.228837069805803,18.368794326241133,48.36879432624113,,
30~35,2420,3.629002024443278,20.619834710743802,49.33884297520661,,
35~40,1245,1.8669865786908602,21.526104417670684,51.64658634538153,,
40~45,1375,2.061932968433681,23.200000000000003,54.54545454545454,,
45~50,994,1.4905900877258753,25.653923541247487,56.03621730382293,,
50~55,497,0.7452950438629377,23.541247484909455,57.947686116700204,,
55~60,436,0.6538201994451526,29.128440366972473,57.56880733944955,,
60~65,246,0.3688985528979531,32.52032520325203,65.85365853658537,,
65~70,111,0.1664542250881008,25.225225225225223,63.96396396396396,,
70~75,95,0.14246082327359974,28.421052631578945,61.05263157894737,,
75~80,54,0.08097773112394091,53.70370370370371,75.92592592592592,,
80~85,34,0.05098597885581465,26.47058823529412,64.70588235294117,,
85~90,4,0.005998350453625253,25.0,50.0,,
90~95,4,0.005998350453625253,25.0,50.0,,
95~100,1,0.0014995876134063133,100.0,100.0,,
