区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-5~0,33312,49.954262577791106,2.2214217098943325,12.698126801152737,,
0~5,5303,7.952313113893679,6.581180463888366,29.605883462191212,,
5~10,5098,7.644897653145385,8.944684189878384,35.307963907414674,,
10~15,4728,7.090050236185048,12.542301184433164,43.31641285956007,,
15~20,4168,6.250281172677513,14.227447216890596,46.61708253358925,,
20~25,3491,5.23506035840144,18.762532225723287,52.993411629905474,,
25~30,2894,4.33980655319787,23.289564616447823,55.49412577747063,,
30~35,2363,3.5435255304791182,26.661024121878967,60.22005924672027,,
35~40,1607,2.4098372947439453,34.287492221530805,66.33478531425015,,
40~45,1321,1.9809552373097399,39.51551854655564,69.87130961392884,,
45~50,947,1.4201094698957786,38.01478352692714,69.79936642027455,,
50~55,519,0.7782859713578766,43.93063583815029,78.22736030828517,,
55~60,375,0.5623453550273674,41.06666666666667,75.46666666666667,,
60~65,290,0.4348804078878309,44.13793103448276,73.44827586206897,,
65~70,98,0.1469595861138187,37.755102040816325,66.3265306122449,,
70~75,103,0.15445752418085026,33.00970873786408,66.01941747572816,,
75~80,29,0.043488040788783086,24.137931034482758,48.275862068965516,,
80~85,16,0.023993401814501013,56.25,56.25,,
85~90,13,0.01949463897428207,0.0,38.46153846153847,,
95~100,10,0.014995876134063134,20.0,60.0,,
