区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-10~0,33312,49.954262577791106,2.2214217098943325,12.698126801152737,,
0~10,10401,15.597210767039064,7.7396404191904615,32.40073069897125,,
10~20,8896,13.340331408862562,13.331834532374101,44.86285971223021,,
20~30,6385,9.57486691159931,20.81440877055599,54.12685982772122,,
30~40,3970,5.9533628252230635,29.74811083123426,62.695214105793454,,
40~50,2268,3.4010647072055185,38.88888888888889,69.84126984126983,,
50~60,894,1.340631326385244,42.72930648769575,77.06935123042506,,
60~70,388,0.5818399940016495,42.52577319587629,71.64948453608247,,
70~80,132,0.19794556496963334,31.060606060606062,62.121212121212125,,
80~90,29,0.043488040788783086,31.03448275862069,48.275862068965516,,
90~100,10,0.014995876134063134,20.0,60.0,,
