区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-100~-90,2,0.0029991752268126266,50.0,100.0,,
-90~-80,43,0.06448226737647146,0.0,0.0,,
-80~-70,128,0.1919472145160081,0.0,0.0,,
-70~-60,395,0.5923371072954937,0.0,0.0,,
-60~-50,877,1.3151383369573368,0.0,0.45610034207525657,,
-50~-40,2187,3.279598110519607,0.18289894833104708,2.1490626428898034,,
-40~-30,4124,6.1842993176876355,4.995150339476237,17.41028128031038,,
-30~-20,6447,9.667841343630501,2.6834186443306964,12.331316891577478,,
-20~-10,9166,13.745220064482266,4.102116517564914,18.557713288239146,,
-10~0,10144,15.211816750393641,6.831624605678234,25.64077287066246,,
0~10,10475,15.70818025043113,10.558472553699284,34.31026252983293,,
10~20,8304,12.452575541726025,13.812620423892099,40.450385356454724,,
20~30,6877,10.312664017395216,18.249236585720517,48.36411225825215,,
30~40,3665,5.495988603134138,20.92769440654843,50.122783083219645,,
40~50,2369,3.552523056159556,24.229632756437315,55.17095821021528,,
50~60,933,1.3991152433080902,26.152197213290464,57.77063236870311,,
60~70,357,0.5353527779860539,30.252100840336134,65.26610644257703,,
70~80,149,0.22343855439754065,37.58389261744966,66.44295302013423,,
80~90,38,0.056984329309439904,26.31578947368421,63.1578947368421,,
90~100,5,0.007497938067031567,40.0,60.0,,
