区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-30~-25,553,0.8292719502136913,13.200723327305605,35.081374321880645,,
-25~-20,1726,2.5882882207392965,10.89223638470452,31.981460023174975,,
-20~-15,778,1.1666791632301117,9.254498714652955,29.82005141388175,,
-15~-10,2246,3.3680737797105795,10.418521816562778,30.85485307212823,,
-10~-5,155,0.23243608007797856,10.32258064516129,27.09677419354839,,
-5~0,61212,91.79275699182725,10.025811932300856,30.17382212638045,,
0~5,15,0.0224938142010947,13.333333333333334,40.0,,
