区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-100~-95,12,0.017995051360875758,16.666666666666664,75.0,,
-90~-85,18,0.02699257704131364,5.555555555555555,33.33333333333333,,
-80~-75,100,0.14995876134063132,13.0,31.0,,
-75~-70,84,0.1259653595261303,21.428571428571427,40.476190476190474,,
-70~-65,108,0.16195546224788182,12.037037037037036,33.33333333333333,,
-65~-60,231,0.34640473869685834,11.255411255411255,33.76623376623377,,
-60~-55,397,0.5953362825223064,11.838790931989925,35.012594458438286,,
-55~-50,540,0.8097773112394091,10.925925925925926,30.555555555555557,,
-50~-45,931,1.3961160680812776,9.774436090225564,31.149301825993554,,
-45~-40,1353,2.028942040938742,11.677753141167775,31.042128603104214,,
-40~-35,1610,2.4143360575841646,9.130434782608695,30.248447204968944,,
-35~-30,2936,4.402789232960936,10.558583106267031,31.16485013623978,,
-30~-25,761,1.1411861738022044,11.563731931668856,33.63994743758213,,
-25~-20,5778,8.664617230261678,10.24575977847006,30.78920041536864,,
-20~-15,5142,7.710879508135263,10.482302605989888,32.574873590042785,,
-10~-5,7904,11.852740496363499,10.538967611336032,31.009615384615387,,
-5~0,9424,14.132113668741098,9.974533106960951,29.93421052631579,,
5~10,3392,5.0866011846742145,10.347877358490566,29.982311320754718,,
10~15,9334,13.99715078353453,9.695736018855795,28.969359331476323,,
15~20,2660,3.9889030516607935,9.43609022556391,29.28571428571429,,
20~25,2106,3.158131513833696,9.544159544159545,28.679962013295345,,
25~30,3591,5.385019119742071,8.493455861876914,27.624617098301307,,
30~35,2957,4.434280572842468,10.179235711870138,29.89516401758539,,
35~40,1830,2.744245332533553,8.743169398907105,28.96174863387978,,
40~45,1323,1.9839544125365525,10.506424792139079,28.34467120181406,,
45~50,987,1.480092974432031,11.651469098277609,35.76494427558257,,
50~55,126,0.18894803928919546,8.73015873015873,33.33333333333333,,
55~60,457,0.6853115393266851,9.62800875273523,28.227571115973742,,
60~65,559,0.8382694758941291,10.01788908765653,30.94812164579606,,
80~85,19,0.028492164654719952,21.052631578947366,47.368421052631575,,
95~100,15,0.0224938142010947,13.333333333333334,40.0,,
