区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
0~5,3376,5.062607782859714,0.20734597156398105,2.5177725118483414,,
5~10,2922,4.381795006373247,0.37645448323066394,4.791238877481177,,
10~15,3345,5.016120566844117,0.9865470852017937,5.769805680119582,,
15~20,3605,5.406013346329759,1.5811373092926488,8.432732316227462,,
20~25,3444,5.164579740571343,1.713124274099884,10.598141695702672,,
25~30,3672,5.506485716427982,1.8790849673202614,13.153594771241831,,
30~35,3897,5.843892929444403,2.4377726456248396,16.140620990505518,,
35~40,3547,5.319037264752193,3.608683394417818,19.509444601071326,,
40~45,3800,5.698432930943991,4.473684210526316,23.263157894736842,,
45~50,3604,5.404513758716353,6.243063263041066,26.997780244173143,,
50~55,3628,5.4405038614381045,7.2767364939360535,30.953693495038586,,
55~60,3754,5.6294519007273,8.391049547149706,34.523175279701654,,
60~65,3559,5.337032316113069,11.070525428491148,41.02275920202304,,
65~70,3636,5.452500562345355,13.256325632563257,44.746974697469746,,
70~75,3344,5.0146209792307115,15.370813397129188,48.624401913875595,,
75~80,3133,4.698207992801979,19.182891796999684,52.56942227896585,,
80~85,3428,5.140586338756842,22.549591598599765,55.33838973162194,,
85~90,3549,5.322036439979005,32.967032967032964,65.73682727528882,,
90~95,3179,4.76718902301867,39.91821327461466,71.37464611513055,,
95~100,263,0.3943915423258604,32.69961977186312,61.97718631178707,,
