区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-100~-95,2,0.0029991752268126266,50.0,100.0,,
-90~-85,1,0.0014995876134063133,0.0,0.0,,
-85~-80,42,0.06298267976306515,0.0,0.0,,
-80~-75,43,0.06448226737647146,0.0,0.0,,
-75~-70,84,0.1259653595261303,0.0,0.0,,
-70~-65,138,0.20694309065007124,0.0,0.0,,
-65~-60,238,0.35690185199070257,0.0,0.0,,
-60~-55,374,0.5608457674139611,0.0,0.0,,
-55~-50,547,0.8202744245332534,0.0,0.7312614259597806,,
-50~-45,996,1.493589262952688,0.0,1.4056224899598393,,
-45~-40,1063,1.5940616330509112,0.18814675446848542,2.539981185324553,,
-40~-35,1931,2.895703681487591,0.4660797514241326,4.0393578456758155,,
-35~-30,2298,3.4460523356077077,1.0879025239338556,7.354221061792863,,
-30~-25,3147,4.719202219389667,1.6523673339688592,10.899269145217668,,
-25~-20,3008,4.51075954112619,2.0279255319148937,12.06781914893617,,
-20~-15,3679,5.516982829721827,3.452025006795325,16.308779559662952,,
-15~-10,6149,9.22096423483542,4.699951211579118,20.670027646771832,,
-10~-5,3603,5.403014171102947,6.716625034693312,25.006938662225924,,
-5~0,6177,9.262952688010797,7.268900760887162,28.897523069451193,,
0~5,4503,6.752643023168628,9.37153009105041,33.11125916055963,,
5~10,5962,8.94054135112844,12.160348876216034,35.96108688359611,,
10~15,4081,6.119817050311164,13.134035775545211,40.480274442538594,,
15~20,5300,7.94781435105346,15.679245283018867,43.45283018867925,,
20~25,2999,4.497263252605534,18.272757585861953,48.049349783261086,,
25~30,2526,3.787958311464347,19.55661124307205,49.8812351543943,,
30~35,2117,3.1746269775811653,20.075578649031648,52.149267831837506,,
35~40,1722,2.5822898702856714,22.64808362369338,52.67131242740999,,
40~45,1737,2.604783684486766,24.755325273459988,56.073690270581466,,
45~50,770,1.154682462322861,27.532467532467532,59.87012987012987,,
50~55,542,0.8127764864662218,29.520295202952028,61.254612546125465,,
55~60,367,0.550348654120117,29.972752043596728,61.30790190735694,,
60~65,229,0.3434055634700457,32.314410480349345,59.388646288209614,,
65~70,128,0.1919472145160081,35.15625,60.15625,,
70~75,86,0.12896453475294292,30.23255813953488,62.7906976744186,,
75~80,47,0.07048061783009672,36.17021276595745,72.3404255319149,,
80~85,38,0.056984329309439904,39.473684210526315,78.94736842105263,,
85~90,9,0.01349628852065682,44.44444444444444,66.66666666666666,,
90~95,1,0.0014995876134063133,0.0,0.0,,
95~100,1,0.0014995876134063133,100.0,100.0,,
