区間,件数,割合(%),的中率(%),3着以内率(%),単勝回収率(%),複勝回収率(%)
-100~-90,12,0.017995051360875758,16.666666666666664,75.0,,
-90~-80,18,0.02699257704131364,5.555555555555555,33.33333333333333,,
-80~-70,184,0.27592412086676166,16.847826086956523,35.32608695652174,,
-70~-60,339,0.5083602009447402,11.504424778761061,33.6283185840708,,
-60~-50,937,1.4051135937617154,11.312700106723586,32.44397011739594,,
-50~-40,2284,3.4250581090200196,10.901926444833625,31.08581436077058,,
-40~-30,4546,6.817125290545101,10.052793664760229,30.84029916410031,,
-30~-20,6539,9.805803404063882,10.399143599938828,31.120966508640464,,
-20~-10,5142,7.710879508135263,10.482302605989888,32.574873590042785,,
-10~0,17328,25.984854165104597,10.231994459833794,30.424746075715603,,
0~10,3392,5.0866011846742145,10.347877358490566,29.982311320754718,,
10~20,11994,17.98605383519532,9.638152409538101,29.03951975987994,,
20~30,5697,8.543150633575767,8.881867649640162,28.014744602422326,,
30~40,4787,7.178525905376023,9.630248589931064,29.538332985168164,,
40~50,2310,3.4640473869685837,10.995670995670997,31.515151515151512,,
50~60,583,0.8742595786158807,9.433962264150944,29.331046312178387,,
60~70,559,0.8382694758941291,10.01788908765653,30.94812164579606,,
80~90,19,0.028492164654719952,21.052631578947366,47.368421052631575,,
90~100,15,0.0224938142010947,13.333333333333334,40.0,,
