keibajo_code,kyori,wakuban,sample_count,tansho_hit_count,fukusho_hit_count,tansho_hit_rate,fukusho_hit_rate,keibajo_name
35,1000,8,147,20,52,13.61,35.37,盛岡
35,1200,1,360,38,112,10.56,31.11,盛岡
35,1200,2,338,47,115,13.91,34.02,盛岡
35,1200,3,364,35,110,9.62,30.22,盛岡
35,1200,4,350,32,119,9.14,34.0,盛岡
35,1200,5,379,37,129,9.76,34.04,盛岡
35,1200,6,419,55,147,13.13,35.08,盛岡
35,1200,7,476,64,153,13.45,32.14,盛岡
35,1200,8,504,68,186,13.49,36.9,盛岡
35,1400,1,350,45,117,12.86,33.43,盛岡
35,1400,2,353,30,100,8.5,28.33,盛岡
35,1400,3,374,39,127,10.43,33.96,盛岡
35,1400,4,363,39,119,10.74,32.78,盛岡
35,1400,5,354,44,110,12.43,31.07,盛岡
35,1400,6,395,47,152,11.9,38.48,盛岡
35,1400,7,513,61,181,11.89,35.28,盛岡
35,1400,8,562,81,212,14.41,37.72,盛岡
35,1600,1,271,35,88,12.92,32.47,盛岡
35,1600,2,241,27,82,11.2,34.02,盛岡
35,1600,3,285,27,86,9.47,30.18,盛岡
35,1600,4,263,27,89,10.27,33.84,盛岡
35,1600,5,312,25,88,8.01,28.21,盛岡
35,1600,6,350,32,96,9.14,27.43,盛岡
35,1600,7,461,47,142,10.2,30.8,盛岡
35,1600,8,503,46,140,9.15,27.83,盛岡
35,1700,1,26,3,10,11.54,38.46,盛岡
35,1700,2,22,5,12,22.73,54.55,盛岡
35,1700,3,30,2,6,6.67,20.0,盛岡
35,1700,4,28,2,6,7.14,21.43,盛岡
35,1700,5,42,4,14,9.52,33.33,盛岡
35,1700,6,24,0,4,0.0,16.67,盛岡
35,1700,7,32,2,6,6.25,18.75,盛岡
35,1700,8,33,6,8,18.18,24.24,盛岡
35,1800,1,31,4,11,12.9,35.48,盛岡
35,1800,2,38,5,12,13.16,31.58,盛岡
35,1800,3,33,3,12,9.09,36.36,盛岡
35,1800,4,38,3,7,7.89,18.42,盛岡
35,1800,5,36,5,13,13.89,36.11,盛岡
35,1800,6,45,5,18,11.11,40.0,盛岡
35,1800,7,57,6,16,10.53,28.07,盛岡
35,1800,8,62,5,19,8.06,30.65,盛岡
35,2000,1,11,2,3,18.18,27.27,盛岡
35,2000,2,7,2,3,28.57,42.86,盛岡
35,2000,3,11,0,3,0.0,27.27,盛岡
35,2000,4,10,0,1,0.0,10.0,盛岡
35,2000,5,12,3,3,25.0,25.0,盛岡
35,2000,6,10,1,2,10.0,20.0,盛岡
35,2000,7,20,0,2,0.0,10.0,盛岡
35,2000,8,11,2,4,18.18,36.36,盛岡
35,2400,1,9,1,1,11.11,11.11,盛岡
35,2400,2,4,1,1,25.0,25.0,盛岡
35,2400,3,3,0,1,0.0,33.33,盛岡
35,2400,4,5,1,2,20.0,40.0,盛岡
35,2400,5,3,0,1,0.0,33.33,盛岡
35,2400,6,11,0,4,0.0,36.36,盛岡
35,2400,7,9,1,4,11.11,44.44,盛岡
35,2400,8,9,0,1,0.0,11.11,盛岡
35,2500,2,1,0,0,0.0,0.0,盛岡
35,2500,4,2,0,1,0.0,50.0,盛岡
35,2500,5,1,1,1,100.0,100.0,盛岡
35,2600,3,1,0,0,0.0,0.0,盛岡
