keibajo_code,keibajo_name,distance,waku,sample_count,tansho_hit_rate,fukusho_hit_rate,avg_hit_rate,baseline_rate,wakuban_coefficient
35,盛岡,1700,1,129,6.98,24.81,15.895,18.030625,-3.2034375000000015
35,盛岡,1700,2,129,10.85,32.56,21.705000000000002,18.030625,5.511562500000002
35,盛岡,1700,3,141,9.93,34.04,21.985,18.030625,5.931562499999998
35,盛岡,1700,4,145,14.48,32.41,23.445,18.030625,8.1215625
35,盛岡,1700,5,211,7.11,25.12,16.115000000000002,18.030625,-2.873437499999998
35,盛岡,1700,6,231,5.19,22.94,14.065000000000001,18.030625,-5.948437499999999
35,盛岡,1700,7,239,7.95,20.92,14.435,18.030625,-5.3934375
35,盛岡,1700,8,250,9.6,23.6,16.6,18.030625,-2.1459374999999987
35,盛岡,1800,1,146,9.59,35.62,22.604999999999997,20.513749999999998,3.136874999999998
35,盛岡,1800,2,146,12.33,34.25,23.29,20.513749999999998,4.1643750000000015
35,盛岡,1800,3,146,15.07,30.82,22.945,20.513749999999998,3.646875000000003
35,盛岡,1800,4,146,10.27,29.45,19.86,20.513749999999998,-0.9806249999999981
35,盛岡,1800,5,174,9.2,28.16,18.68,20.513749999999998,-2.7506249999999977
35,盛岡,1800,6,199,9.55,32.16,20.854999999999997,20.513749999999998,0.5118749999999981
35,盛岡,1800,7,224,7.59,28.13,17.86,20.513749999999998,-3.980624999999998
35,盛岡,1800,8,247,9.31,26.72,18.015,20.513749999999998,-3.7481249999999964
35,盛岡,2000,1,41,14.63,36.59,25.610000000000003,17.835,11.662500000000003
35,盛岡,2000,2,43,13.95,25.58,19.765,17.835,2.8949999999999996
35,盛岡,2000,3,53,7.55,30.19,18.87,17.835,1.5525000000000002
35,盛岡,2000,4,55,3.64,21.82,12.73,17.835,-7.657500000000001
35,盛岡,2000,5,63,4.76,20.63,12.695,17.835,-7.710000000000001
35,盛岡,2000,6,69,11.59,30.43,21.009999999999998,17.835,4.762499999999996
35,盛岡,2000,7,75,8.0,20.0,14.0,17.835,-5.752500000000001
35,盛岡,2000,8,75,8.0,28.0,18.0,17.835,0.24749999999999872
35,盛岡,2400,1,21,9.52,19.05,14.285,17.606875,-4.982812499999998
35,盛岡,2400,2,21,9.52,33.33,21.424999999999997,17.606875,5.727187499999998
35,盛岡,2400,3,24,16.67,29.17,22.92,17.606875,7.9696875000000045
35,盛岡,2400,4,26,7.69,26.92,17.305,17.606875,-0.4528124999999985
35,盛岡,2400,5,35,2.86,22.86,12.86,17.606875,-7.120312499999999
35,盛岡,2400,6,38,10.53,21.05,15.79,17.606875,-2.7253124999999994
