区間,件数,割合(%),的中率(%),3着以内率(%)
-100~-90,0,0.0,0.0,0.0
-90~-80,0,0.0,0.0,0.0
-80~-70,0,0.0,0.0,0.0
-70~-60,2,0.0029991752268126266,50.0,100.0
-60~-50,0,0.0,0.0,0.0
-50~-40,0,0.0,0.0,0.0
-40~-30,0,0.0,0.0,0.0
-30~-20,6,0.008997525680437879,0.0,0.0
-20~-10,52,0.07797855589712828,0.0,0.0
-10~0,61866,92.77348729099498,8.780267028739534,28.180260563152622
0~10,4759,7.136537452200645,27.085522168522797,57.84828745534776
10~20,0,0.0,0.0,0.0
20~30,0,0.0,0.0,0.0
30~40,0,0.0,0.0,0.0
40~50,0,0.0,0.0,0.0
50~60,0,0.0,0.0,0.0
60~70,0,0.0,0.0,0.0
70~80,0,0.0,0.0,0.0
80~90,0,0.0,0.0,0.0
90~100,0,0.0,0.0,0.0
