区間,件数,割合(%),的中率(%),3着以内率(%)
-100~-90,0,0.0,0.0,0.0
-90~-80,0,0.0,0.0,0.0
-80~-70,0,0.0,0.0,0.0
-70~-60,0,0.0,0.0,0.0
-60~-50,0,0.0,0.0,0.0
-50~-40,2,0.0029991752268126266,50.0,100.0
-40~-30,0,0.0,0.0,0.0
-30~-20,9,0.01349628852065682,0.0,0.0
-20~-10,2831,4.245332533553273,0.0,0.9890498057223597
-10~0,37334,55.9856039589113,5.766861306048106,21.661220335351157
0~10,26509,39.75256804378795,17.231883511260328,45.53925082047606
10~20,0,0.0,0.0,0.0
20~30,0,0.0,0.0,0.0
30~40,0,0.0,0.0,0.0
40~50,0,0.0,0.0,0.0
50~60,0,0.0,0.0,0.0
60~70,0,0.0,0.0,0.0
70~80,0,0.0,0.0,0.0
80~90,0,0.0,0.0,0.0
90~100,0,0.0,0.0,0.0
