区間,件数,割合(%),的中率(%),3着以内率(%)
0~10,6298,9.444402789232962,0.2858050174658622,3.5725627183232773
10~20,6950,10.422133913173877,1.2949640287769784,7.151079136690648
20~30,7116,10.671065456999324,1.7987633501967397,11.916807195053401
30~40,7444,11.162930194196596,2.9957012358946806,17.745835572272973
40~50,7404,11.102946689660344,5.334954078876283,25.081037277147487
50~60,7382,11.069955762165405,7.843402871850447,32.768897317800054
60~70,7195,10.789532878458424,12.175121612230717,42.90479499652536
70~80,6477,9.71282897203269,17.21475991971592,50.53265400648448
80~90,6977,10.462622778735847,27.848645549663182,60.62777698151067
90~100,3442,5.16158056534453,39.366647298082505,70.65659500290529
