区間,件数,割合(%),的中率(%),3着以内率(%)
-100~-90,0,0.0,0.0,0.0
-90~-80,0,0.0,0.0,0.0
-80~-70,0,0.0,0.0,0.0
-70~-60,0,0.0,0.0,0.0
-60~-50,0,0.0,0.0,0.0
-50~-40,0,0.0,0.0,0.0
-40~-30,0,0.0,0.0,0.0
-30~-20,2279,3.4175601709529877,11.452391399736726,32.73365511189118
-20~-10,3024,4.534752942940691,10.119047619047619,30.58862433862434
-10~0,61367,92.02519307190524,10.026561506998876,30.16605015725064
0~10,15,0.0224938142010947,13.333333333333334,40.0
10~20,0,0.0,0.0,0.0
20~30,0,0.0,0.0,0.0
30~40,0,0.0,0.0,0.0
40~50,0,0.0,0.0,0.0
50~60,0,0.0,0.0,0.0
60~70,0,0.0,0.0,0.0
70~80,0,0.0,0.0,0.0
80~90,0,0.0,0.0,0.0
90~100,0,0.0,0.0,0.0
