区間,件数,割合(%),的中率(%),3着以内率(%)
-100~-95,0,0.0,0.0,0.0
-95~-90,0,0.0,0.0,0.0
-90~-85,0,0.0,0.0,0.0
-85~-80,0,0.0,0.0,0.0
-80~-75,0,0.0,0.0,0.0
-75~-70,0,0.0,0.0,0.0
-70~-65,0,0.0,0.0,0.0
-65~-60,0,0.0,0.0,0.0
-60~-55,0,0.0,0.0,0.0
-55~-50,0,0.0,0.0,0.0
-50~-45,0,0.0,0.0,0.0
-45~-40,0,0.0,0.0,0.0
-40~-35,0,0.0,0.0,0.0
-35~-30,0,0.0,0.0,0.0
-30~-25,553,0.8292719502136913,13.200723327305605,35.081374321880645
-25~-20,1726,2.5882882207392965,10.89223638470452,31.981460023174975
-20~-15,778,1.1666791632301117,9.254498714652955,29.82005141388175
-15~-10,2246,3.3680737797105795,10.418521816562778,30.85485307212823
-10~-5,155,0.23243608007797856,10.32258064516129,27.09677419354839
-5~0,61212,91.79275699182725,10.025811932300856,30.17382212638045
0~5,15,0.0224938142010947,13.333333333333334,40.0
5~10,0,0.0,0.0,0.0
10~15,0,0.0,0.0,0.0
15~20,0,0.0,0.0,0.0
20~25,0,0.0,0.0,0.0
25~30,0,0.0,0.0,0.0
30~35,0,0.0,0.0,0.0
35~40,0,0.0,0.0,0.0
40~45,0,0.0,0.0,0.0
45~50,0,0.0,0.0,0.0
50~55,0,0.0,0.0,0.0
55~60,0,0.0,0.0,0.0
60~65,0,0.0,0.0,0.0
65~70,0,0.0,0.0,0.0
70~75,0,0.0,0.0,0.0
75~80,0,0.0,0.0,0.0
80~85,0,0.0,0.0,0.0
85~90,0,0.0,0.0,0.0
90~95,0,0.0,0.0,0.0
95~100,0,0.0,0.0,0.0
