"競馬場コード","競馬場名","距離(m)","クラス","サンプル数","集計開始日","集計終了日","基準タイム(秒)","標準偏差(秒)"
"35","盛岡","1800","一般戦","300","20160515","20251112","115.92","1.35"
"35","盛岡","2000","上位クラス","205","20160606","20250907","126.56","2.78"
"35","盛岡","2400","上位クラス","105","20160529","20250727","153.84","3.00"
"35","盛岡","2500","上位クラス","5","20211121","20211121","165.58","1.73"
"35","盛岡","2600","上位クラス","10","20221120","20231119","170.76","0.78"
"36","水沢","0850","上位クラス","30","20210606","20250615","50.63","0.56"
"36","水沢","0850","E級","150","20160424","20251216","50.93","0.74"
"36","水沢","0850","一般戦","4145","20160109","20251231","52.25","1.05"
"36","水沢","1300","上位クラス","10","20160910","20170909","83.31","1.09"
"36","水沢","1300","E級","155","20160702","20240625","82.63","1.65"
"36","水沢","1300","一般戦","9718","20160102","20251229","85.36","1.77"
"36","水沢","1400","上位クラス","225","20160403","20251005","89.64","1.93"
"36","水沢","1400","E級","575","20160103","20251230","89.44","1.48"
"36","水沢","1400","一般戦","11888","20160103","20251231","91.25","1.67"
"36","水沢","1600","上位クラス","395","20160102","20251221","103.21","2.09"
"36","水沢","1600","E級","1230","20160109","20251231","103.38","1.78"
"36","水沢","1600","一般戦","5684","20160102","20251230","104.61","1.79"
"36","水沢","1800","E級","194","20160111","20240429","119.08","1.90"
"36","水沢","1800","一般戦","160","20160320","20220516","118.72","2.24"
"36","水沢","1900","上位クラス","55","20160828","20250928","124.09","2.09"
"36","水沢","1900","E級","140","20160110","20251215","124.85","1.71"
"36","水沢","1900","一般戦","5","20201130","20201130","124.64","0.27"
"36","水沢","2000","上位クラス","150","20161120","20251231","130.43","2.61"
"36","水沢","2000","E級","20","20160626","20190624","132.91","3.42"
"36","水沢","2000","一般戦","5","20210518","20210518","133.20","0.42"
"36","水沢","2500","上位クラス","30","20161204","20251130","167.89","2.08"
"42","浦和","0800","E級","320","20191104","20251225","47.68","0.67"
"42","浦和","0800","一般戦","3372","20160201","20251225","48.85","0.98"
"42","浦和","1300","E級","5","20180924","20180924","85.04","1.04"
"42","浦和","1300","一般戦","600","20160108","20251225","86.03","1.52"
"42","浦和","1400","上位クラス","450","20160203","20251223","87.62","1.56"
"42","浦和","1400","E級","4046","20160106","20251225","89.86","1.32"
"42","浦和","1400","一般戦","12834","20160106","20251225","91.75","1.44"
"42","浦和","1500","上位クラス","40","20161221","20250320","95.96","1.44"
"42","浦和","1500","E級","3096","20160106","20251225","97.00","1.36"
"42","浦和","1500","一般戦","5260","20160106","20251225","98.67","1.32"
"42","浦和","1600","上位クラス","65","20160107","20220317","102.65","0.94"
"42","浦和","1600","E級","625","20160201","20201225","103.94","1.23"
"42","浦和","1600","一般戦","80","20160825","20220314","104.91","1.11"
"42","浦和","1900","上位クラス","25","20161019","20201021","121.34","1.13"
"42","浦和","1900","E級","30","20161124","20181120","123.51","1.17"
"42","浦和","2000","上位クラス","110","20161122","20251126","128.51","1.74"
"42","浦和","2000","E級","1397","20190214","20251225","133.51","2.34"
"43","船橋","1000","上位クラス","110","20160120","20251210","60.01","0.83"
"43","船橋","1000","E級","692","20160121","20251210","61.47","0.93"
"43","船橋","1000","一般戦","2007","20160119","20251212","63.05","1.31"
"43","船橋","1200","上位クラス","45","20210503","20250705","74.01","0.75"
"43","船橋","1200","E級","3206","20160216","20251212","75.09","1.17"
"43","船橋","1200","一般戦","11646","20160118","20251212","76.85","1.38"
"43","船橋","1500","E級","945","20160623","20251209","98.14","1.81"
"43","船橋","1500","一般戦","6845","20160118","20251212","99.01","1.59"
"43","船橋","1600","上位クラス","280","20160413","20251211","102.10","2.00"
"43","船橋","1600","E級","4114","20160119","20251212","104.16","1.51"
"43","船橋","1600","一般戦","1958","20160118","20251211","104.94","1.45"
"43","船橋","1700","上位クラス","170","20160119","20250930","110.48","1.76"
"43","船橋","1700","E級","625","20160118","20251211","110.61","1.76"
"43","船橋","1700","一般戦","40","20160624","20230207","112.20","2.03"
"43","船橋","1800","上位クラス","250","20160217","20251209","114.33","1.68"
"43","船橋","1800","E級","695","20160121","20251211","117.43","2.29"
"43","船橋","1800","一般戦","175","20160120","20250509","119.31","2.10"
"43","船橋","2200","上位クラス","5","20210624","20210624","145.72","0.13"
"43","船橋","2200","E級","700","20191101","20251211","148.82","2.59"
"43","船橋","2200","一般戦","40","20200403","20210813","149.57","1.36"
"43","船橋","2400","上位クラス","50","20160309","20250312","157.31","1.87"
"44","大井","1000","E級","85","20231031","20251114","61.21","0.83"
"44","大井","1000","一般戦","35","20231103","20251231","62.15","1.53"
"44","大井","1200","上位クラス","85","20231004","20251204","72.84","1.31"
"44","大井","1200","E級","740","20231003","20251231","73.86","1.00"
"44","大井","1200","一般戦","4188","20231002","20251231","75.65","1.37"
"44","大井","1400","上位クラス","20","20240228","20250904","87.84","1.67"
"44","大井","1400","E級","695","20231002","20251231","88.22","1.24"
